No.,Test-Code,Cathode,Anode,Anode Solution,Anode Thickness (μ),Anode Foil,NEC Layer,NEC (Watt),NEC (Minute),Protect Layer,Protect (Watt),Protect (Time),Combined Mass,Energy Discharge Cycle 1,Energy Discharge Cycle 2,Energy Discharge Cycle 3,Energy Discharge Cycle 4,Energy Discharge Cycle 5,Energy Discharge Cycle 6,Energy Discharge Cycle 7,Energy Discharge Cycle 8,Energy Discharge Cycle 9,Energy Discharge Cycle 10,Energy Discharge Cycle 15,Energy Discharge Cycle 20,Energy Discharge Cycle 30,Energy Discharge Cycle 50,Energy Discharge Cycle 100
1,20210526-141649-05-5,NMC,PVdF,811,50,Al,,,,,,,0.0679,0.468,0.67,0.766,0.708,0.097,0.569,3.241,3.66,3.63,3.556,1.679,,,,
2,20210526-141911-05-6,NMC,PVdF,811,50,Al,,,,,,,0.072,0.28,0.312,0.333,0.349,0.365,0.379,0.393,0.404,0.413,0.418,0.422,0.411,0.373,0.337,
3,20210526-142136-05-7,NMC,PVdF,811,50,Al,CuBFO,100,20,Cu,20,2,0.0698,2.03,2.041,1.697,0.825,0.817,0.907,0.907,0.907,0.907,0.907,0.907,,,,
4,20210526-142426-05-8,NMC,PVdF,811,50,Al,CuBFO,100,20,Cu,20,2,0.0683,2.341,2.686,2.972,2.994,1.497,1.769,1.282,1.823,2.128,2.047,1.29,,,,
5,20210527-163546-05-5,LCO,PVdF,811,50,Al,,,,,,,0.0755,0.581,0.629,0.646,0.655,0.665,0.673,0.679,0.684,0.689,0.694,0.708,0.704,0.691,0.656,0.318
6,20210527-163643-05-6,LCO,PVdF,811,50,Al,,,,,,,0.0613,2.085,2.258,2.293,2.282,2.231,2.232,2.2,2.137,2.113,2.025,1.556,1.366,1.165,1.189,1.415
7,20210527-163838-05-7,LCO,PVdF,811,50,Al,,,,,,,0.0622,2.846,2.97,3.051,3.07,3.075,3.072,3.08,3.076,3.059,3.058,2.249,2.703,1.471,1.383,1.158
8,20210527-164401-05-1,LCO,PVdF,811,50,Al,CuBFO,100,20,Cu,20,2,0.0618,0.851,0.888,0.904,0.922,0.926,0.927,0.935,0.928,0.937,0.93,0.912,0.905,0.905,0.696,0.877
9,20210527-164514-05-2,LCO,PVdF,811,50,Al,CuBFO,100,20,Cu,20,2,0.0638,1.527,1.63,1.753,1.793,1.785,1.79,1.778,1.712,1.417,1.457,1.427,1.331,0.987,0.123,0
10,20210527-164702-05-3,LCO,PVdF,811,50,Al,CuBFO,100,20,Cu,20,2,0.0565,0.822,0.873,0.926,0.948,0.976,1.013,1.052,1.083,1.09,1.128,1.288,1.157,0.772,0.329,0.229
